loc_rowid,pl_hostname,pl_letter,pl_orbper,pl_orbsmax
433,HD 1666,b,270,0.94
434,HD 166724,b,5144,5.42
435,HD 167042,b,420.77,1.32
436,HD 168443,b,58.11247,0.2931
437,HD 168443,c,1749.83,2.8373
438,HD 168746,b,6.404,0.07
439,HD 1690,b,533,1.36
440,HD 169830,b,225.62,0.81
441,HD 169830,c,2102,3.6
442,HD 170469,b,1145,2.24
443,HD 17092,b,359.89999,1.31
444,HD 171028,b,550,1.32
445,HD 171238,b,1523,2.54
447,HD 173416,b,323.6,1.16
448,HD 175167,b,1290,2.4
449,HD 175541,b,297.29999,0.96
451,HD 17674,b,623.8,1.42
452,HD 176986,b,6.4898,0.06296
453,HD 176986,c,16.8191,0.11878
454,HD 177565,b,44.505,0.246
455,HD 177830,b,410.10001,1.14
456,HD 177830,c,110.9,0.5137
457,HD 178911 B,b,71.484,0.34
458,HD 179079,b,14.476,0.12
459,HD 179949,b,3.092514,0.0443
460,HD 180314,b,396.03,1.46
461,HD 180902,b,479,1.38
462,HD 181342,b,663,1.78
463,HD 181433,b,9.3743,0.08
464,HD 181433,c,962,1.76
465,HD 181433,d,2172,3
466,HD 181720,b,956,1.85
467,HD 183263,b,626.51599,1.49
468,HD 183263,c,3070,4.35
469,HD 185269,b,6.83785,0.08
470,HD 187085,b,986,2.05
471,HD 187123,b,3.0965828,0.0426
472,HD 187123,c,3810,4.89
473,HD 18742,b,772,1.98
474,HD 188015,b,461.2,1.203
476,HD 190360,b,2915.03687,3.97
477,HD 190360,c,17.111,0.1304
478,HD 190647,b,1038.09998,2.07
479,HD 190984,b,4885,5.5
480,HD 191806,b,1606.3,2.8
481,HD 192263,b,24.3556,0.15
482,HD 192310,b,74.72,0.32
483,HD 192310,c,525.8,1.18
484,HD 192699,b,345.53,1.12
485,HD 195019,b,18.20132,0.14
486,HD 196050,b,1378,2.51
487,HD 196067,b,3638,5.02
488,HD 196885,b,1333,2.37
489,HD 197037,b,1035.7,2.07
490,HD 19994,b,466.2,1.305
491,HD 200964,b,613.79999,1.64
492,HD 200964,c,825,1.95
493,HD 202206,c,1260,2.41
495,HD 2039,b,1120,2.2
496,HD 204313,b,1920.09998,3.07
497,HD 204313,c,34.905,0.2099
498,HD 204941,b,1733,2.55
499,HD 205739,b,279.8,0.896
500,HD 206610,b,610,1.54
